Bairro,Homicidios
AEROLANDIA,17
AEROPORTO,2
JOSE DE ALENCAR,20
ALDEOTA,8
ALTO DA BALANCA,10
ALVARO WEYNE,21
AMADEU FURTADO,0
ANCURI,18
ANTONIO BEZERRA,16
AUTRAN NUNES,18
DE LOURDES,0
BARRA DO CEARA,70
BARROSO,45
BELA VISTA,17
BENFICA,2
BOM FUTURO,0
BOM JARDIM,53
BONSUCESSO,25
CAIS DO PORTO,19
CAJAZEIRAS,11
CAMBEBA,4
CANINDEZINHO,29
CARLITO PAMPLONA,17
CASTELAO,7
CENTRO,30
CIDADE 2000,5
CIDADE DOS FUNCIONARIOS,9
COACU,0
COCO,1
CONJUNTO CEARA I,7
CONJUNTO CEARA II,6
CONJUNTO ESPERANCA,15
CONJUNTO PALMEIRAS,46
COUTO FERNANDES,4
CRISTO REDENTOR,17
CURIO,11
DAMAS,2
DEMOCRITO ROCHA,5
DENDE,5
DIAS MACEDO,10
DIONISIO TORRES,3
DOM LUSTOSA,4
MANUEL DIAS BRANCO,3
EDSON QUEIROZ,24
VILA ELLERY,6
ENG LUCIANO CAVALCANTE,1
FARIAS BRITO,1
FATIMA,7
FLORESTA,10
GENIBAU,37
GENTILANDIA,0
GRANJA LISBOA,32
GRANJA PORTUGAL,26
GUAJERU,0
PATRIOLINO RIBEIRO,2
HENRIQUE JORGE,6
ITAOCA,10
ITAPERI,8
JACARECANGA,11
JANGURUSSU,57
JARDIM AMERICA,8
JARDIM CEARENSE,1
JARDIM DAS OLIVEIRAS,31
JARDIM GUANABARA,6
JARDIM IRACEMA,29
JOAO XXIII,10
JOAQUIM TAVORA,4
JOQUEI CLUBE,7
JOSE BONIFACIO,3
LAGOA REDONDA,13
MARAPONGA,12
BOA VISTA,1
MEIRELES,2
MESSEJANA,46
MONDUBIM,47
MONTE CASTELO,12
MONTESE,4
MOURA BRASIL,6
MUCURIPE,10
PADRE ANDRADE,6
PANAMERICANO,7
PAPICU,11
PARANGABA,11
PARQUE ARAXA,0
PARQUE DOIS IRMAOS,14
PARQUE IRACEMA,2
PARQUE MANIBURA,0
PARQUE PRESIDENTE VARGAS,9
PARQUE SANTA ROSA,8
PARQUE SAO JOSE,17
PARQUELANDIA,6
PARREAO,0
PASSARE,35
PAUPINA,12
PEDRAS,1
PICI,23
PIRAMBU,38
PLANALTO AYRTON SENNA,30
PRAIA DE IRACEMA,11
PRAIA DO FUTURO I,12
PRAIA DO FUTURO II,12
PREFEITO JOSE VALTER,25
PRESIDENTE KENNEDY,2
QUINTINO CUNHA,36
RODOLFO TEOFILO,4
SABIAGUABA,9
SALINAS,0
SAO BENTO,0
SAO GERARDO,3
SAO JOAO DO TAUAPE,24
SAPIRANGA COITE,13
SERRINHA,21
SIQUEIRA,30
VARJOTA,2
VICENTE PINZON,34
MANOEL SATIRO,9
VILA PERY,6
VILA UNIAO,10
VILA VELHA,31
,6