Bairro,Pop
Aerolândia,11360
Aeroporto,8618
Aldeota,42361
Alto da Balança,12814
Álvaro Weyne,23690
Amadeo Furtado,11703
Ancuri,20070
Antônio Bezerra,25846
Arraial Moura Brasil,3765
Autran Nunes,21208
Barra do Ceará,72423
Barroso,29847
Bela Vista,16754
Benfica,12954
Boa Vista,12247
Bom Futuro,6405
Bom Jardim,37758
Bonsucesso,41198
Cais do Porto,22382
Cajazeiras,14478
Cambeba,7625
Canindezinho,41202
Carlito Pamplona,29076
Centro,28538
Cidade 2000,8272
Cidade dos Funcionários,18256
Coaçu,7188
Cocó,20492
Conjunto Ceará I,19221
Conjunto Ceará II,23673
Conjunto Esperança,16405
Conjunto Palmeiras,36599
Couto Fernandes,5260
Cristo Redentor,26717
Curió,7636
Damas,10719
De Lourdes,3370
Demócrito Rocha,10994
Dendê,5637
Dias Macêdo,12111
Dionísio Torres,15634
Dom Lustosa,13147
Edson Queiroz,22210
Farias Brito,12063
Fátima,23309
Floresta,28896
Genibaú,40336
Granja Lisboa,52042
Granja Portugal,39651
Guajerú,6668
Guararapes,5266
Henrique Jorge,26994
Itaoca,12477
Itaperi,22563
Jacarecanga,14204
Jangurussu,50479
Jardim América,12264
Jardim Cearense,10103
Jardim das Oliveiras,29571
Jardim Guanabara,14919
Jardim Iracema,23184
João XXIII,18398
Joaquim Távora,23450
Jóquei Clube,19331
José Bonifácio,8848
José de Alencar,16003
Lagoa Redonda,27949
Luciano Cavalcante,15543
Manoel Sátiro,37952
Manuel Dias Branco,1447
Maraponga,10155
Meireles,36982
Messejana,41689
Mondubim,76044
Monte Castelo,13215
Montese,25970
Mucuripe,13747
Novo Mondubim*,-
Olavo Oliveira*,-
Padre Andrade,12936
Pan Americano,8815
Papicu,18370
Parangaba,30947
Parque Araxá,6715
Parque Dois Irmãos,27236
Parque Iracema,8409
Parque Manibura,7529
Parque Presidente Vargas,7192
Parque Santa Maria*,-
Parque Santa Rosa,12790
Parque São José,10486
Parquelândia,14432
Parreão,11072
Passaré,50940
Paupina,14665
Pedras,1342
Pici,42494
Pirambú,17775
Planalto Ayrton Senna,39446
Praia de Iracema,3130
Praia do Futuro I,6630
Praia do Futuro II,11957
Prefeito José Valter,33427
Presidente Kennedy,23004
Quintino Cunha,47277
Rodolfo Teófilo,19114
Sabiaguaba,2117
Salinas,4298
São Bento,11964
São Gerardo,14505
São João do Tauape,27598
Sapiranga/Coité,32158
Serrinha,28770
Siqueira,33628
Varjota,8421
Vila Ellery,7863
Vila Pery,20645
Vila União,15378
Vila Velha,61617
Vicente Pinzon,45518