year,month,day,min_tmp
2015,12,20,25.500
2015,12,21,25.100
2015,12,22,25.700
2015,12,23,25.600
2015,12,24,23.800
2015,12,25,23.800
2015,12,26,24.300
2015,12,27,25.900
2015,12,28,23.500
2015,12,29,24.400
2015,12,30,26.700
2015,12,31,26.700
2016,01,01,26.500
2016,01,02,26.100
2016,01,03,25.900
2016,01,04,26.000
2016,01,05,26.100
2016,01,06,25.800
2016,01,07,24.300
2016,01,08,23.700
2016,01,09,23.400
2016,01,10,24.300
2016,01,11,24.900
2016,01,12,25.600
2016,01,13,26.500
2016,01,14,26.100
2016,01,15,25.500
2016,01,16,26.000
2016,01,17,25.900
2016,01,18,26.400
2016,01,19,26.300
2016,01,20,25.500
2016,01,21,
2016,01,22,
2016,01,23,
2016,01,24,24.900
2016,01,25,24.400
2016,01,26,26.100
2016,01,27,26.900
2016,01,28,
2016,01,29,
2016,01,30,25.800
2016,01,31,25.700
2016,02,01,24.500
2016,02,02,26.700
2016,02,03,26.000
2016,02,04,26.800
2016,02,05,
2016,02,06,
2016,02,07,28.200
2016,02,08,24.700
2016,02,09,26.500
2016,02,10,
2016,02,11,27.600
2016,02,12,
2016,02,13,27.900
2016,02,14,
2016,02,15,27.100
2016,02,16,
2016,02,17,
2016,02,18,
2016,02,19,27.700
2016,02,20,25.800
2016,02,21,27.500
2016,02,22,
2016,02,23,27.700
2016,02,24,
2016,02,25,
2016,02,26,
2016,02,27,
2016,02,28,27.000
2016,02,29,
2016,03,01,
2016,03,02,
2016,03,03,
2016,03,04,
2016,03,05,
2016,03,06,
2016,03,07,
2016,03,08,
2016,03,09,
2016,03,10,
2016,03,11,
2016,03,12,25.000
2016,03,13,25.100
2016,03,14,23.100
2016,03,15,24.700
2016,03,16,24.400
2016,03,17,25.200
2016,03,18,24.600
2016,03,19,25.200
2016,03,20,25.400
2016,03,21,26.000
2016,03,22,25.100
2016,03,23,25.200
2016,03,24,24.200
2016,03,25,24.500
2016,03,26,25.100
2016,03,27,25.400
2016,03,28,25.600
2016,03,29,24.500
2016,03,30,24.400
2016,03,31,23.600
2016,04,01,23.000
2016,04,02,23.500
2016,04,03,24.200
2016,04,04,24.000
2016,04,05,
2016,04,06,
2016,04,07,
2016,04,08,25.900
2016,04,09,25.100
2016,04,10,
2016,04,11,24.400
2016,04,12,25.700
2016,04,13,24.500
2016,04,14,25.000
2016,04,15,24.200
2016,04,16,24.800
2016,04,17,24.300
2016,04,18,24.700
2016,04,19,24.200
2016,04,20,25.000
2016,04,21,25.100
2016,04,22,23.300
2016,04,23,23.900
2016,04,24,25.100
2016,04,25,25.100
2016,04,26,25.700
2016,04,27,25.400
2016,04,28,24.700
2016,04,29,24.700
2016,04,30,24.200
2016,05,01,25.700
2016,05,02,24.400
2016,05,03,22.900
2016,05,04,24.200
2016,05,05,24.700
2016,05,06,24.700
2016,05,07,25.200
2016,05,08,24.900
2016,05,09,25.500
2016,05,10,25.300
2016,05,11,24.700
2016,05,12,23.500
2016,05,13,24.800
2016,05,14,24.900
2016,05,15,25.100
2016,05,16,24.800
2016,05,17,25.500
2016,05,18,
2016,05,19,
2016,05,20,25.700
2016,05,21,
2016,05,22,
2016,05,23,
2016,05,24,
2016,05,25,
2016,05,26,
2016,05,27,
2016,05,28,
2016,05,29,
2016,05,30,
2016,05,31,
2016,06,01,
2016,06,02,
2016,06,03,
2016,06,04,
2016,06,05,
2016,06,06,
2016,06,07,24.000
2016,06,08,
2016,06,09,
2016,06,10,25.200
2016,06,11,
2016,06,12,
2016,06,13,
2016,06,14,
2016,06,15,
2016,06,16,25.300
2016,06,17,25.000
2016,06,18,
2016,06,19,
2016,06,20,
2016,06,21,
2016,06,22,23.700
2016,06,23,
2016,06,24,
2016,06,25,
2016,06,26,25.300
2016,06,27,25.300
2016,06,28,24.500
2016,06,29,
2016,06,30,22.900
2016,07,01,22.800
2016,07,02,22.800
2016,07,03,23.900
2016,07,04,22.600
2016,07,05,23.300
2016,07,06,24.100
2016,07,07,23.400
2016,07,08,24.200
2016,07,09,
2016,07,10,
2016,07,11,24.400
2016,07,12,24.100
2016,07,13,23.300
2016,07,14,24.500
2016,07,15,23.600
2016,07,16,23.700
2016,07,17,23.400
2016,07,18,22.800
2016,07,19,23.700
2016,07,20,
2016,07,21,23.500
2016,07,22,23.700
2016,07,23,23.300
2016,07,24,
2016,07,25,23.000
2016,07,26,22.500
2016,07,27,22.800
2016,07,28,22.800
2016,07,29,24.200
2016,07,30,22.700
2016,07,31,22.800
2016,08,01,22.500
2016,08,02,23.100
2016,08,03,22.600
2016,08,04,23.800
2016,08,05,23.000
2016,08,06,23.600
2016,08,07,23.000
2016,08,08,24.400
2016,08,09,24.300
2016,08,10,24.300
2016,08,11,22.900
2016,08,12,23.200
2016,08,13,24.300
2016,08,14,22.800
2016,08,15,24.500
2016,08,16,24.100
2016,08,17,24.600
2016,08,18,23.400
2016,08,19,23.800
2016,08,20,22.800
2016,08,21,23.800
2016,08,22,23.800
2016,08,23,24.100
2016,08,24,
2016,08,25,24.000
2016,08,26,23.400
2016,08,27,22.700
2016,08,28,24.500
2016,08,29,23.900
2016,08,30,22.900
2016,08,31,
2016,09,01,24.400
2016,09,02,23.500
2016,09,03,24.700
2016,09,04,24.500
2016,09,05,24.600
2016,09,06,24.400
2016,09,07,23.600
2016,09,08,24.500
2016,09,09,24.100
2016,09,10,24.000
2016,09,11,24.100
2016,09,12,24.900
2016,09,13,24.100
2016,09,14,23.800
2016,09,15,24.500
2016,09,16,25.800
2016,09,17,24.400
2016,09,18,24.800
2016,09,19,24.800
2016,09,20,24.200
2016,09,21,25.300
2016,09,22,25.500
2016,09,23,25.100
2016,09,24,23.900
2016,09,25,24.400
2016,09,26,24.900
2016,09,27,23.800
2016,09,28,25.500
2016,09,29,24.600
2016,09,30,25.600
2016,10,01,25.000
2016,10,02,25.700
2016,10,03,23.600
2016,10,04,25.800
2016,10,05,24.300
2016,10,06,25.100
2016,10,07,23.800
2016,10,08,24.300
2016,10,09,24.400
2016,10,10,25.500
2016,10,11,24.500
2016,10,12,24.300
2016,10,13,25.000
2016,10,14,25.100
2016,10,15,24.400
2016,10,16,24.500
2016,10,17,23.900
2016,10,18,25.300
2016,10,19,
2016,10,20,24.900
2016,10,21,25.600
2016,10,22,25.100
2016,10,23,25.500
2016,10,24,25.600
2016,10,25,25.000
2016,10,26,25.400
2016,10,27,25.500
2016,10,28,25.900
2016,10,29,25.700
2016,10,30,25.000
2016,10,31,26.000
2016,11,01,26.200
2016,11,02,25.000
2016,11,03,25.100
2016,11,04,24.700
2016,11,05,25.600
2016,11,06,25.600
2016,11,07,26.000
2016,11,08,25.500
2016,11,09,25.300
2016,11,10,26.000
2016,11,11,25.900
2016,11,12,25.900
2016,11,13,24.000
2016,11,14,25.800
2016,11,15,26.200
2016,11,16,24.800
2016,11,17,25.500
2016,11,18,26.000
2016,11,19,26.100
2016,11,20,26.000
2016,11,21,25.900
2016,11,22,26.400
2016,11,23,26.200
2016,11,24,26.200
2016,11,25,26.100
2016,11,26,26.100
2016,11,27,25.600
2016,11,28,24.500
2016,11,29,26.300
2016,11,30,26.300
2016,12,01,26.100
2016,12,02,26.000
2016,12,03,26.200
2016,12,04,24.600
2016,12,05,24.800
2016,12,06,24.800
2016,12,07,26.000
2016,12,08,25.900
2016,12,09,26.300
2016,12,10,26.000
2016,12,11,24.700
2016,12,12,26.400
2016,12,13,25.200
2016,12,14,24.500
2016,12,15,25.300
2016,12,16,24.000
2016,12,17,26.300
2016,12,18,
2016,12,19,24.300
2016,12,20,25.400
2016,12,21,26.300
2016,12,22,25.700
2016,12,23,25.800
2016,12,24,26.200
2016,12,25,25.900
2016,12,26,26.500
2016,12,27,27.000
2016,12,28,24.500
2016,12,29,24.400
2016,12,30,24.800
2016,12,31,24.200
2017,01,01,26.500
2017,01,02,26.200
2017,01,03,25.800
2017,01,04,25.000
2017,01,05,25.300
2017,01,06,26.400
2017,01,07,25.600
2017,01,08,23.700
2017,01,09,23.800
2017,01,10,24.100
2017,01,11,24.100
2017,01,12,23.800
2017,01,13,24.300
2017,01,14,23.700
2017,01,15,24.900
2017,01,16,24.000
2017,01,17,26.100
2017,01,18,25.100
2017,01,19,24.300
2017,01,20,23.900
2017,01,21,24.100
2017,01,22,24.600
2017,01,23,24.400
2017,01,24,25.900
2017,01,25,24.600
2017,01,26,26.400
2017,01,27,23.900
2017,01,28,23.700
2017,01,29,25.000
2017,01,30,25.000
2017,01,31,24.900
2017,02,01,24.400
2017,02,02,25.800
2017,02,03,25.700
2017,02,04,24.700
2017,02,05,24.900
2017,02,06,25.200
2017,02,07,26.900
2017,02,08,26.500
2017,02,09,25.100
2017,02,10,26.000
2017,02,11,22.600
2017,02,12,23.300
2017,02,13,24.000
2017,02,14,24.400
2017,02,15,26.500
2017,02,16,24.400
2017,02,17,24.000
2017,02,18,23.100
2017,02,19,23.600
2017,02,20,22.700
2017,02,21,22.900
2017,02,22,24.300
2017,02,23,25.100
2017,02,24,24.700
2017,02,25,24.700
2017,02,26,23.400
2017,02,27,23.100
2017,02,28,23.400
2017,03,01,24.000
2017,03,02,22.600
2017,03,03,22.500
2017,03,04,23.500
2017,03,05,24.700
2017,03,06,24.100
2017,03,07,24.700
2017,03,08,24.100
2017,03,09,22.700
2017,03,10,22.700
2017,03,11,24.100
2017,03,12,24.100
2017,03,13,23.900
2017,03,14,24.900
2017,03,15,24.400
2017,03,16,24.600
2017,03,17,
2017,03,18,23.500
2017,03,19,24.000
2017,03,20,23.500
2017,03,21,23.600
2017,03,22,
2017,03,23,
2017,03,24,23.400
2017,03,25,24.100
2017,03,26,24.000
2017,03,27,22.700
2017,03,28,24.000
2017,03,29,23.700
2017,03,30,25.100
2017,03,31,24.200
2017,04,01,23.600
2017,04,02,23.400
2017,04,03,24.600
2017,04,04,23.300
2017,04,05,23.800
2017,04,06,23.700
2017,04,07,24.400
2017,04,08,24.600
2017,04,09,25.400
2017,04,10,24.000
2017,04,11,23.100
2017,04,12,22.800
2017,04,13,23.600
2017,04,14,24.800
2017,04,15,24.300
2017,04,16,24.800
2017,04,17,25.000
2017,04,18,24.100
2017,04,19,24.600
2017,04,20,25.100
2017,04,21,24.100
2017,04,22,24.300
2017,04,23,24.300
2017,04,24,24.000
2017,04,25,23.500
2017,04,26,24.600
2017,04,27,24.600
2017,04,28,25.100
2017,04,29,24.800
2017,04,30,23.600
2017,05,01,24.000
2017,05,02,23.500
2017,05,03,24.400
2017,05,04,24.300
2017,05,05,24.300
2017,05,06,23.800
2017,05,07,25.200
2017,05,08,24.700
2017,05,09,24.300
2017,05,10,24.200
2017,05,11,25.000
2017,05,12,24.900
2017,05,13,24.400
2017,05,14,24.100
2017,05,15,24.500
2017,05,16,24.100
2017,05,17,25.300
2017,05,18,24.400
2017,05,19,25.400
2017,05,20,24.500
2017,05,21,25.000
2017,05,22,23.500
2017,05,23,23.400
2017,05,24,23.900
2017,05,25,23.900
2017,05,26,24.600
2017,05,27,24.700
2017,05,28,23.600
2017,05,29,23.200
2017,05,30,23.000
2017,05,31,24.400
2017,06,01,24.100
2017,06,02,24.600
2017,06,03,24.700
2017,06,04,24.600
2017,06,05,24.200
2017,06,06,23.600
2017,06,07,23.500
2017,06,08,22.900
2017,06,09,25.300
2017,06,10,24.700
2017,06,11,24.700
2017,06,12,23.600
2017,06,13,23.900
2017,06,14,24.100
2017,06,15,23.100
2017,06,16,23.300
2017,06,17,23.000
2017,06,18,23.900
2017,06,19,23.900
2017,06,20,24.600
2017,06,21,24.300
2017,06,22,23.600
2017,06,23,22.900
2017,06,24,24.100
2017,06,25,24.200
2017,06,26,24.500
2017,06,27,24.400
2017,06,28,24.600
2017,06,29,23.500
2017,06,30,24.000
2017,07,01,23.600
2017,07,02,23.600
2017,07,03,22.500
2017,07,04,21.900
2017,07,05,23.300
2017,07,06,23.500
2017,07,07,23.100
2017,07,08,23.700
2017,07,09,23.800
2017,07,10,24.500
2017,07,11,24.000
2017,07,12,22.300
2017,07,13,22.200
2017,07,14,22.400
2017,07,15,23.000
2017,07,16,23.100
2017,07,17,22.400
2017,07,18,22.900
2017,07,19,23.100
2017,07,20,23.800
2017,07,21,22.300
2017,07,22,22.200
2017,07,23,23.600
2017,07,24,22.900
2017,07,25,22.000
2017,07,26,22.200
2017,07,27,21.600
2017,07,28,24.600
2017,07,29,21.900
2017,07,30,
2017,07,31,22.700
2017,08,01,24.400
2017,08,02,23.500
2017,08,03,22.700
2017,08,04,22.800
2017,08,05,23.200
2017,08,06,24.800
2017,08,07,25.000
2017,08,08,22.800
2017,08,09,22.700
2017,08,10,22.800
2017,08,11,22.900
2017,08,12,23.200
2017,08,13,22.400
2017,08,14,24.700
2017,08,15,24.000
2017,08,16,23.300
2017,08,17,22.300
2017,08,18,24.100
2017,08,19,24.500
2017,08,20,24.200
2017,08,21,23.300
2017,08,22,23.200
2017,08,23,23.000
2017,08,24,23.500
2017,08,25,23.100
2017,08,26,
2017,08,27,24.200
2017,08,28,24.100
2017,08,29,23.800
2017,08,30,23.700
2017,08,31,24.900
2017,09,01,23.900
2017,09,02,24.200
2017,09,03,23.300
2017,09,04,22.700
2017,09,05,22.600
2017,09,06,22.800
2017,09,07,23.800
2017,09,08,23.800
2017,09,09,24.200
2017,09,10,25.300
2017,09,11,22.300
2017,09,12,24.000
2017,09,13,23.900
2017,09,14,23.100
2017,09,15,23.200
2017,09,16,22.700
2017,09,17,23.200
2017,09,18,25.100
2017,09,19,22.800
2017,09,20,24.300
2017,09,21,23.000
2017,09,22,24.500
2017,09,23,24.700
2017,09,24,23.700
2017,09,25,24.500
2017,09,26,24.300
2017,09,27,24.900
2017,09,28,24.000
2017,09,29,25.000
2017,09,30,23.500
2017,10,01,23.600
2017,10,02,25.200
2017,10,03,24.200
2017,10,04,24.200
2017,10,05,24.300
2017,10,06,23.600
2017,10,07,24.300
2017,10,08,23.700
2017,10,09,25.200
2017,10,10,24.300
2017,10,11,24.200
2017,10,12,24.500
2017,10,13,23.900
2017,10,14,25.300
2017,10,15,24.700
2017,10,16,24.000
2017,10,17,24.000
2017,10,18,24.400
2017,10,19,25.100
2017,10,20,26.000
2017,10,21,25.600
2017,10,22,25.400
2017,10,23,23.500
2017,10,24,25.800
2017,10,25,24.500
2017,10,26,24.600
2017,10,27,25.400
2017,10,28,25.200
2017,10,29,26.000
2017,10,30,25.000
2017,10,31,25.400
2017,11,01,24.500
2017,11,02,24.600
2017,11,03,26.100
2017,11,04,24.500
2017,11,05,24.900
2017,11,06,25.300
2017,11,07,25.600
2017,11,08,25.300
2017,11,09,24.100
2017,11,10,25.600
2017,11,11,25.000
2017,11,12,23.300
2017,11,13,24.600
2017,11,14,25.500
2017,11,15,25.600
2017,11,16,23.300
2017,11,17,24.200
2017,11,18,24.900
2017,11,19,23.400
2017,11,20,24.800
2017,11,21,24.800
2017,11,22,25.700
2017,11,23,24.800
2017,11,24,25.500
2017,11,25,25.500
2017,11,26,25.300
2017,11,27,26.100
2017,11,28,24.300
2017,11,29,25.100
2017,11,30,26.000
2017,12,01,26.000
2017,12,02,25.100
2017,12,03,25.300
2017,12,04,26.400
2017,12,05,25.400
2017,12,06,26.400
2017,12,07,26.000
2017,12,08,25.400
2017,12,09,24.600
2017,12,10,25.000
2017,12,11,25.300
2017,12,12,25.400
2017,12,13,26.200
2017,12,14,26.000
2017,12,15,24.900
2017,12,16,25.900
2017,12,17,26.500
2017,12,18,26.300
2017,12,19,26.500
2017,12,20,25.700
2017,12,21,25.300
2017,12,22,24.200
2017,12,23,25.700
2017,12,24,24.000
2017,12,25,25.500
2017,12,26,25.900
2017,12,27,26.200
2017,12,28,26.000
2017,12,29,26.000
2017,12,30,26.300
2017,12,31,25.900