minutos,dia não útil,dia útil
0.0,0.0,0.0022497187851518562
1.0,0.03139013452914798,0.07874015748031496
2.0,0.9865470852017937,2.0708661417322833
3.0,6.044843049327354,11.636670416197974
4.0,18.12556053811659,29.21597300337458
5.0,24.95964125560538,41.457817772778405
6.0,28.300448430493272,48.86501687289089
7.0,29.865470852017935,53.93138357705287
8.0,29.91031390134529,55.87289088863892
9.0,29.58744394618834,56.326209223847016
10.0,30.300448430493272,56.031496062992126
11.0,29.54708520179372,55.2992125984252
12.0,28.96412556053812,52.77390326209224
13.0,28.19730941704036,50.676040494938135
14.0,26.68609865470852,47.70528683914511
15.0,25.542600896860986,44.81214848143982
16.0,24.58744394618834,42.01687289088864
17.0,23.16591928251121,39.50168728908886
18.0,22.08520179372197,37.32733408323959
19.0,20.94170403587444,34.881889763779526
20.0,20.291479820627803,32.39032620922384
21.0,20.112107623318387,30.58042744656918
22.0,19.708520179372197,29.116985376827895
23.0,18.654708520179373,26.82002249718785
24.0,18.542600896860986,25.528683914510687
25.0,17.582959641255606,24.139482564679415
26.0,17.26457399103139,22.893138357705286
27.0,17.260089686098656,21.76040494938133
28.0,16.609865470852018,20.62992125984252
29.0,16.569506726457398,19.698537682789652
30.0,15.986547085201794,19.292463442069742
31.0,16.013452914798208,18.53318335208099
32.0,15.766816143497758,17.912260967379076
33.0,15.61883408071749,17.145106861642294
34.0,15.219730941704036,16.875140607424072
35.0,14.748878923766815,16.076490438695163
36.0,15.210762331838565,15.473565804274466
37.0,14.955156950672645,15.224971878515186
38.0,14.946188340807176,14.811023622047244
39.0,14.61883408071749,14.498312710911136
40.0,14.354260089686099,14.066366704161979
41.0,14.466367713004484,13.476940382452193
42.0,14.269058295964125,13.188976377952756
43.0,13.84304932735426,12.75140607424072
44.0,14.201793721973095,12.59392575928009
45.0,13.784753363228699,12.213723284589426
46.0,13.789237668161435,11.948256467941507
47.0,13.63677130044843,11.462317210348706
48.0,13.573991031390134,11.148481439820022
49.0,13.591928251121077,11.12710911136108
50.0,12.991031390134529,10.899887514060742
51.0,12.807174887892376,10.240719910011249
52.0,12.488789237668161,9.917885264341956
53.0,12.426008968609866,9.64904386951631
54.0,12.130044843049328,9.196850393700787
55.0,11.627802690582959,8.834645669291339
56.0,10.79372197309417,8.330708661417322
57.0,11.349775784753364,7.509561304836895
58.0,10.147982062780269,7.09673790776153
59.0,9.973094170403588,6.44769403824522
60.0,9.278026905829597,5.808773903262092
61.0,8.919282511210762,5.0236220472440944
62.0,8.121076233183857,4.464566929133858
63.0,7.99103139013453,4.053993250843645
64.0,7.838565022421525,3.6051743532058493
65.0,7.542600896860987,3.208098987626547
66.0,7.286995515695067,2.9606299212598426
67.0,6.865470852017937,2.704161979752531
68.0,6.8923766816143495,2.520809898762655
69.0,6.887892376681615,2.357705286839145
70.0,6.506726457399103,2.1653543307086616
71.0,6.228699551569507,1.985376827896513
72.0,6.116591928251121,1.8942632170978628
73.0,6.089686098654709,1.809898762654668
74.0,5.932735426008969,1.8222722159730034
75.0,5.7757847533632285,1.6535433070866141
76.0,5.533632286995516,1.5793025871766029
77.0,5.748878923766816,1.517435320584927
78.0,5.139013452914798,1.437570303712036
79.0,5.497757847533633,1.3464566929133859
80.0,4.946188340807175,1.3228346456692914
81.0,5.076233183856503,1.236220472440945
82.0,4.327354260089686,1.1529808773903263
83.0,4.582959641255606,1.1439820022497187
84.0,4.506726457399103,1.1833520809898763
85.0,4.013452914798206,1.0134983127109112
86.0,3.8789237668161434,0.9572553430821147
87.0,3.8565022421524664,0.9932508436445444
88.0,3.7443946188340806,0.968503937007874
89.0,3.6143497757847536,0.9853768278965129
90.0,3.0807174887892375,0.8998875140607424
91.0,2.8475336322869955,0.8582677165354331
92.0,2.484304932735426,0.8413948256467941
93.0,2.1748878923766815,0.813273340832396
94.0,2.2242152466367715,0.7536557930258717
95.0,2.0448430493273544,0.7266591676040495
96.0,2.0358744394618835,0.7514060742407199
97.0,1.8968609865470851,0.7199100112485939
98.0,1.7937219730941705,0.6895388076490439
99.0,1.811659192825112,0.6704161979752531
100.0,1.4708520179372198,0.6130483689538808
101.0,1.7399103139013452,0.6591676040494938
102.0,1.6053811659192825,0.59392575928009
103.0,1.5112107623318385,0.6231721034870641
104.0,1.3318385650224216,0.5466816647919011
105.0,1.3856502242152466,0.6006749156355455
106.0,1.2286995515695067,0.5365579302587177
107.0,1.358744394618834,0.4746906636670416
108.0,1.1659192825112108,0.47131608548931386
109.0,1.1838565022421526,0.4904386951631046
110.0,1.2780269058295963,0.48031496062992124
111.0,1.147982062780269,0.48256467941507314
112.0,1.1121076233183858,0.4431946006749156
113.0,1.0807174887892377,0.4364454443194601
114.0,1.053811659192825,0.45894263217097864
115.0,1.1300448430493273,0.45894263217097864
116.0,0.852017937219731,0.4251968503937008
117.0,1.0224215246636772,0.3914510686164229
118.0,0.8699551569506726,0.41169853768278963
119.0,0.9147982062780269,0.4150731158605174
120.0,0.9461883408071748,0.39595050618672667
121.0,0.820627802690583,0.37907761529808776
122.0,0.7443946188340808,0.35995500562429694
123.0,0.8385650224215246,0.33520809898762655
124.0,0.7399103139013453,0.33970753655793023
125.0,0.7040358744394619,0.30821147356580425
126.0,0.6816143497757847,0.3250843644544432
127.0,0.7533632286995515,0.33070866141732286
128.0,0.6816143497757847,0.31496062992125984
129.0,0.5874439461883408,0.30708661417322836
130.0,0.7443946188340808,0.27334083239595053
131.0,0.6367713004484304,0.2857142857142857
132.0,0.6322869955156951,0.27896512935883017
133.0,0.6098654708520179,0.27671541057367827
134.0,0.6098654708520179,0.265466816647919
135.0,0.6771300448430493,0.2530933633295838
136.0,0.5964125560538116,0.26659167604049494
137.0,0.5695067264573991,0.2440944881889764
138.0,0.6636771300448431,0.2688413948256468
139.0,0.5829596412556054,0.24634420697412823
140.0,0.5067264573991032,0.2508436445444319
141.0,0.5336322869955157,0.22947131608548932
142.0,0.5381165919282511,0.2530933633295838
143.0,0.5515695067264574,0.1923509561304837
144.0,0.49327354260089684,0.22384701912260968
145.0,0.4439461883408072,0.2452193475815523
146.0,0.49327354260089684,0.2508436445444319
147.0,0.5381165919282511,0.22272215973003376
148.0,0.47085201793721976,0.1844769403824522
149.0,0.5201793721973094,0.1923509561304837
150.0,0.3632286995515695,0.22272215973003376
151.0,0.484304932735426,0.17772778402699663
152.0,0.42152466367713004,0.19460067491563554
153.0,0.4484304932735426,0.18672665916760406
154.0,0.34977578475336324,0.20697412823397077
155.0,0.4080717488789238,0.19572553430821146
156.0,0.452914798206278,0.16197975253093364
157.0,0.4349775784753363,0.18785151856017998
158.0,0.3542600896860987,0.1484814398200225
159.0,0.3452914798206278,0.20247469066366705
160.0,0.4484304932735426,0.15523059617547807
161.0,0.36771300448430494,0.1732283464566929
162.0,0.336322869955157,0.17547806524184478
163.0,0.3811659192825112,0.17547806524184478
164.0,0.3183856502242152,0.16422947131608548
165.0,0.30493273542600896,0.1608548931383577
166.0,0.2556053811659193,0.15748031496062992
167.0,0.29596412556053814,0.12935883014623173
168.0,0.27802690582959644,0.1372328458942632
169.0,0.3452914798206278,0.1597300337457818
170.0,0.2556053811659193,0.15410573678290213
171.0,0.2825112107623318,0.14960629921259844
172.0,0.3183856502242152,0.13835770528683913
173.0,0.273542600896861,0.14285714285714285
174.0,0.2645739910313901,0.13835770528683913
175.0,0.32286995515695066,0.140607424071991
176.0,0.23318385650224216,0.15523059617547807
177.0,0.23766816143497757,0.11811023622047244
178.0,0.18385650224215247,0.13385826771653545
179.0,0.28699551569506726,0.1327334083239595
